Sample,Cl,NO3-N,NO3,SO4-S,SO4,Na,NH4-N,NH4,K,Mg,Ca
IND_A_001,0.001,0.058,0.255,1.037,3.107,0.137,0.709,0.914,0.247,0.014,0.046
IND_A_002,0.005,0.152,0.673,2.481,7.431,0.424,1.729,2.227,0.872,0.042,0.084
IND_A_003,0.011,0.212,0.937,1.745,5.227,0.354,1.306,1.682,0.663,0.039,0.086
IND_A_004,0.185,0.164,0.726,1.166,3.493,0.279,0.687,0.884,0.619,0.028,0.087
IND_A_005,0.064,0.204,0.905,1.91,5.723,0.383,1.315,1.694,0.576,0.034,0.074
IND_A_006,0.178,0.138,0.612,1.475,4.42,0.348,0.91,1.172,0.594,0.031,0.084
IND_A_007,0.003,0.119,0.525,2.796,8.376,0.182,2.137,2.752,0.333,0.019,0.073
IND_A_008,0.042,0.363,1.607,3.01,9.017,0.231,2.367,3.048,0.765,0.022,0.086
IND_A_009,0.003,0.15,0.665,2.473,7.409,0.166,1.735,2.234,0.424,0.024,0.351
IND_A_010,0.426,0.333,1.472,1.738,5.208,0.311,1.332,1.715,0.381,0.022,0.121
IND_A_011,0.013,0.139,0.616,1.364,4.086,0.136,1.079,1.39,0.178,0.014,0.058
IND_A_012,0.046,0.238,1.056,3.146,9.426,0.481,2.292,2.951,0.532,0.042,0.095
IND_A_013,0.011,0.197,0.873,2.767,8.289,0.347,2.128,2.741,0.651,0.033,0.093
IND_A_014,0.024,0.17,0.754,3.176,9.515,0.369,2.459,3.167,0.517,0.042,0.095
IND_A_015,0.013,0.07,0.157,2.533,7.589,0.314,2.137,2.752,0.564,0.034,0.11
IND_A_016,0.042,0.07,0.211,1.687,5.054,0.308,1.383,1.781,0.661,0.025,0.104
IND_A_017,0.019,0.07,0.183,2.62,7.849,0.334,2.196,2.828,0.664,0.034,0.082
IND_A_018,0.016,0.07,0.108,2.153,6.45,0.345,1.669,2.15,0.567,0.034,0.083
IND_A_019,0.004,0.07,0.061,2.291,6.863,0.462,1.76,2.266,0.449,0.046,0.09
IND_A_020,0.027,0.07,0.186,4.56,13.659,0.467,3.968,5.11,0.589,0.062,0.68
IND_A_021,0.011,0.07,0.104,3.823,11.454,0.318,3.269,4.21,0.405,0.034,0.09
IND_A_022,0.01,0.07,0.162,2.913,8.726,0.317,2.378,3.062,0.537,0.038,0.142
IND_A_023,0.024,0.07,0.237,3.198,9.579,0.374,2.639,3.398,0.831,0.035,0.135
IND_A_024,0.037,0.07,0.285,3.467,10.386,0.344,2.602,3.351,0.788,0.044,0.6
IND_A_025,0.013,0.07,0.191,3.421,10.247,0.277,2.891,3.724,0.628,0.031,0.088
IND_A_026,0.01,0.07,0.102,3.609,10.812,0.185,3.062,3.943,0.499,0.022,0.1
IND_A_027,0.025,0.07,0.096,2.304,6.901,0.327,1.741,2.242,0.416,0.035,0.115
IND_A_028,0.005,0.07,0.138,2.574,7.711,0.349,2.125,2.737,0.528,0.037,0.081
IND_A_029,0.01,0.07,0.195,2.688,8.052,0.367,2.278,2.934,0.658,0.033,0.088
IND_A_030,0.039,0.07,0.131,2.569,7.697,0.47,1.971,2.538,0.641,0.044,0.16
IND_A_031,0.016,0.161,0.712,1.568,4.696,0.38,0.75,0.966,0.745,0.046,0.525
IND_A_032,0.007,0.175,0.775,1.904,5.705,0.308,1.443,1.859,0.743,0.028,0.098
IND_A_033,0.005,0.144,0.637,2.723,8.157,0.377,2.122,2.733,0.564,0.049,0.173
IND_A_034,0.003,0.146,0.645,2.633,7.888,0.421,2.055,2.646,0.732,0.04,0.104
IND_A_035,0.015,0.253,1.119,3.126,9.366,0.274,2.696,3.472,0.542,0.024,0.095
IND_A_036,0.003,0.22,0.972,3.555,10.651,0.244,3.061,3.941,0.61,0.026,0.094
IND_A_037,0.003,0.112,0.498,3.534,10.587,0.272,2.91,3.747,0.703,0.027,0.103
IND_A_038,0.002,0.11,0.487,2.386,7.148,0.228,1.94,2.499,0.553,0.025,0.075
IND_A_039,0.011,0.21,0.928,2.665,7.984,0.303,2.15,2.769,0.743,0.033,0.124
IND_A_042,0.016,0.121,0.535,2.968,8.892,0.436,2.35,3.027,0.62,0.048,0.102
IND_A_043,0,0.064,0.282,2.733,8.186,0.3,2.19,2.821,0.467,0.037,0.089
IND_A_044,0.003,0.041,0.183,3.263,9.775,0.319,2.631,3.388,0.451,0.036,0.081
IND_A_045,0.001,0.026,0.113,1.44,4.314,0.316,0.945,1.216,0.391,0.037,0.073
IND_A_046,0.001,0.067,0.298,2.147,6.431,0.24,1.682,2.166,0.461,0.025,0.086
IND_A_047,0.005,0.18,0.799,1.828,5.475,0.257,1.422,1.831,0.385,0.026,0.099
IND_A_048,0.027,0.068,0.3,1.552,4.649,0.308,1.025,1.32,0.343,0.029,0.11
IND_B_001,0.03,0.063,0.281,0.797,2.388,0.477,0.449,0.579,0.253,0.034,0.081
IND_B_002,0.214,0.065,0.288,0.617,1.848,0.167,0.303,0.39,0.2,0.019,0.07
IND_B_003,0.102,0.045,0.198,0.502,1.505,0.11,0.258,0.332,0.185,0.012,0.068
IND_B_004,0.044,0.046,0.205,0.43,1.289,0.118,0.238,0.306,0.138,0.016,0.057
IND_B_005,0.027,0.097,0.427,0.872,2.612,0.206,0.527,0.678,0.299,0.024,0.076
IND_B_006,0.139,0.055,0.246,0.55,1.648,0.15,0.279,0.359,0.189,0.017,0.001
IND_B_007,0.225,0.063,0.278,0.363,1.089,0.114,0.131,0.168,0.23,0.012,0.059
IND_B_008,0.38,0.074,0.326,0.736,2.205,0.266,0.341,0.44,0.246,0.026,0.077
IND_B_009,0.195,0.052,0.228,0.566,1.697,0.391,0.304,0.392,0.209,0.014,0.001
IND_B_010,0.428,0.106,0.471,0.69,2.067,0.151,0.334,0.43,0.27,0.016,0.08
IND_B_011,0.206,0.095,0.423,0.5,1.497,0.235,0.199,0.256,0.222,0.026,0.066
IND_B_012,0.021,0.054,0.237,0.732,2.194,0.217,0.42,0.542,0.233,0.025,0.078
IND_B_013,0.05,0.062,0.274,1.144,3.426,0.224,0.661,0.851,0.406,0.024,0.097
IND_B_014,0.291,0.185,0.821,1.352,4.049,0.43,0.821,1.057,0.409,0.052,0.12
IND_B_015,0.199,0.081,0.359,0.875,2.62,0.372,0.388,0.5,0.328,0.045,0.088
IND_B_016,0.134,0.07,0.311,0.637,1.91,0.323,0.307,0.395,0.274,0.038,0.091
IND_B_017,0.116,0.143,0.632,0.937,2.808,0.733,0.376,0.484,0.001,0.086,0.1
IND_B_018,0.155,0.141,0.622,0.733,2.197,0.603,0.328,0.422,0.138,0.07,0.131
IND_B_019,0.081,0.135,0.599,1.587,4.755,0.671,0.818,1.053,0.402,0.073,0.101
IND_B_020,3.136,0.109,0.481,0.975,2.922,2.058,0.587,0.756,1.717,0.026,0.217
IND_B_021,0.318,0.064,0.285,0.849,2.545,0.135,0.344,0.443,0.398,0.014,0.094
IND_B_022,0.148,0.059,0.261,1.265,3.791,0.281,0.865,1.114,0.403,0.014,0.107
IND_B_023,0.03,0.079,0.348,0.993,2.976,0.188,0.678,0.873,0.136,0.019,0.066
IND_B_024,0.237,0.118,0.523,1.269,3.803,0.304,0.87,1.12,0.401,0.018,0.082
IND_B_025,0.077,0.2,0.886,0.886,2.653,0.16,0.538,0.692,0.5,0.018,0.102
IND_B_026,0.235,0.07,0.308,0.646,1.935,0.156,0.29,0.373,0.195,0.016,0.072
IND_B_027,0.205,0.058,0.259,0.338,1.014,0.242,0.199,0.256,0.208,0.015,0.077
IND_B_028,0.01,0.044,0.193,0.75,2.248,0.17,0.456,0.587,0.226,0.025,0.084
