Species,Dry Mean (±SD),Dry Median,Wet Mean (±SD),Wet Median,P-value (M-W U)
Cl,0.031 ± 0.070,0.011,0.265 ± 0.573,0.151,0.0000
NO3-N,0.127 ± 0.076,0.111,0.087 ± 0.042,0.070,0.0057
NO3,0.511 ± 0.382,0.492,0.385 ± 0.184,0.309,0.6437
SO4-S,2.537 ± 0.774,2.597,0.807 ± 0.306,0.743,0.0000
SO4,7.601 ± 2.318,7.780,2.418 ± 0.917,2.227,0.0000
Na,0.319 ± 0.084,0.318,0.345 ± 0.376,0.229,0.0387
NH4-N,1.992 ± 0.729,2.123,0.440 ± 0.214,0.360,0.0000
NH4,2.565 ± 0.939,2.735,0.566 ± 0.276,0.464,0.0000
K,0.562 ± 0.152,0.565,0.315 ± 0.296,0.239,0.0000
Mg,0.033 ± 0.010,0.034,0.028 ± 0.020,0.021,0.0025
Ca,0.135 ± 0.133,0.095,0.084 ± 0.038,0.081,0.0051
